LeftController  ;
timestamp;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
12.88 ;-0.1235235 ;1.280589 ;-3.801612 ;-0.1235235 ;1.280589 ;0.4083882 ;0.03866377 ;-0.04438997 ;-0.2045313 ;0.9770883 ;0.03866377 ;-0.04438997 ;-0.2045313 ;0.9770883 ;
12.9 ;-0.1247366 ;1.281265 ;-3.800788 ;-0.1247366 ;1.281265 ;0.4092117 ;0.03794143 ;-0.0469586 ;-0.198852 ;0.9781683 ;0.03794143 ;-0.0469586 ;-0.198852 ;0.9781683 ;
12.92 ;-0.1265265 ;1.283128 ;-3.799824 ;-0.1265265 ;1.283128 ;0.4101757 ;0.04045643 ;-0.05067931 ;-0.1830439 ;0.9809637 ;0.04045643 ;-0.05067931 ;-0.1830439 ;0.9809637 ;
12.94 ;-0.1271051 ;1.284211 ;-3.799587 ;-0.1271051 ;1.284211 ;0.4104132 ;0.04195568 ;-0.05147167 ;-0.1748296 ;0.9823568 ;0.04195568 ;-0.05147167 ;-0.1748296 ;0.9823568 ;
12.96 ;-0.1301275 ;1.285273 ;-3.797784 ;-0.1301275 ;1.285273 ;0.4122158 ;0.0306688 ;-0.06655702 ;-0.1902726 ;0.9789923 ;0.0306688 ;-0.06655702 ;-0.1902726 ;0.9789923 ;
12.98 ;-0.1312795 ;1.285448 ;-3.79718 ;-0.1312795 ;1.285448 ;0.4128204 ;0.03172887 ;-0.06461802 ;-0.1838943 ;0.9803064 ;0.03172887 ;-0.06461802 ;-0.1838943 ;0.9803064 ;
13 ;-0.1331791 ;1.286524 ;-3.796378 ;-0.1331791 ;1.286524 ;0.4136223 ;0.03265467 ;-0.06852187 ;-0.1767887 ;0.9813176 ;0.03265467 ;-0.06852187 ;-0.1767887 ;0.9813176 ;
13.02 ;-0.1341461 ;1.286535 ;-3.795955 ;-0.1341461 ;1.286535 ;0.414045 ;0.03302059 ;-0.07247497 ;-0.1784388 ;0.9807225 ;0.03302059 ;-0.07247497 ;-0.1784388 ;0.9807225 ;
13.04 ;-0.1357903 ;1.285677 ;-3.795275 ;-0.1357903 ;1.285677 ;0.4147253 ;0.03187734 ;-0.07939703 ;-0.1859813 ;0.9788212 ;0.03187734 ;-0.07939703 ;-0.1859813 ;0.9788212 ;
13.06 ;-0.1361659 ;1.285363 ;-3.794999 ;-0.1361659 ;1.285363 ;0.4150011 ;0.03093304 ;-0.08043163 ;-0.1888499 ;0.9782176 ;0.03093304 ;-0.08043163 ;-0.1888499 ;0.9782176 ;
13.08 ;-0.1365004 ;1.285391 ;-3.794969 ;-0.1365004 ;1.285391 ;0.4150309 ;0.02955147 ;-0.08174216 ;-0.190158 ;0.9778982 ;0.02955147 ;-0.08174216 ;-0.190158 ;0.9778982 ;
13.1 ;-0.1368585 ;1.285214 ;-3.794881 ;-0.1368585 ;1.285214 ;0.4151186 ;0.03304382 ;-0.08238047 ;-0.1889688 ;0.9779634 ;0.03304382 ;-0.08238047 ;-0.1889688 ;0.9779634 ;
13.12 ;-0.1368746 ;1.285096 ;-3.794762 ;-0.1368746 ;1.285096 ;0.4152378 ;0.03355219 ;-0.08227099 ;-0.1887145 ;0.9780044 ;0.03355219 ;-0.08227099 ;-0.1887145 ;0.9780044 ;
13.14 ;-0.1378236 ;1.285427 ;-3.794423 ;-0.1378236 ;1.285427 ;0.4155769 ;0.03409976 ;-0.08482365 ;-0.1875718 ;0.9779872 ;0.03409976 ;-0.08482365 ;-0.1875718 ;0.9779872 ;
